,icao24,start,end
683,e49050,3615,409811
684,4d20f9,3616,1388764
685,a238a6,3621,10905
686,a817b1,3622,31560
687,a817b1,1431961,1433083
688,a78546,1433015,1439866
689,a94b08,3630,943949
690,acaa77,3633,132590
691,a59d63,3641,386291
692,abc12a,3645,195273
693,a5b1e6,3647,134231
694,a8469e,3655,310923
695,adb35c,3657,1331829
696,a24a8d,3658,621045
697,a0ebab,3662,1750245
698,7c6d2b,3663,43873
699,a32bc8,3665,441267
700,a68caa,3670,936031
701,a2f829,3675,1546249
702,ada31c,3679,577304
703,a06f3a,3681,726030
704,a62312,3683,1667218
705,e49542,3687,547160
706,a12c23,3692,379809
707,7c80fb,3696,340918
708,a836db,3698,713003
709,a4e5a9,3717,426209
710,ab0dc2,3718,1519190
711,a3c775,3720,280179
712,a9903a,3723,696197
713,48412f,3737,517809
714,aa8b40,3744,424240
715,abf78f,3749,1009036
716,7c6b3d,3754,667355
717,a8e8a0,3756,356388
718,a8e8a0,363685,1374245
719,aa5691,3758,1576217
720,a394f8,3759,232377
721,a42ee9,3760,461965
722,ab1971,3763,758385
723,a03262,3773,1396858
724,a4bb8a,3776,645234
725,ad3435,3787,1171179
726,a3d10f,3789,1070683
727,ad6b14,3791,469367
728,e48fb7,3797,538217
729,a8d4f6,3798,1562257
730,c07efb,3800,674127
731,0ac365,3801,585029
732,7c6b36,3803,1143599
733,a25c6e,3806,838934
734,ac9c37,3811,950894
735,abe124,3812,621003
736,a417c9,3825,24588
737,06a2e5,3828,1345518
738,a9410c,3845,38358
739,7808af,3846,697851
740,a04dbe,3858,203088
741,a41412,3861,88800
742,a14104,3872,446964
743,a12ff9,3874,1165830
744,e4812f,3895,1546251
745,ab313c,3907,987939
746,0d0752,3913,988347
747,a98f2d,3917,432604
748,4d0102,3922,590556
749,aa2bc2,3926,577614
750,789232,3927,1518733
751,a03ce6,3932,417350
752,c03c0c,3936,416356
753,a506d9,3940,1481871
754,a506d9,1497788,1503583
755,a506d9,1560878,1562673
756,a359e6,3966,471275
757,a8e2d6,3970,279651
758,a48315,3983,1362929
759,a03f84,3985,1675549
760,abc0c1,3987,544899
761,a3d425,3991,1017388
762,a445f0,3992,923341
763,a7302f,3993,750343
764,a7302f,1561766,1672553
765,a915cf,3998,759071
766,a51968,4000,487220
767,a8a3ce,4005,899166
768,abe450,4017,562335
769,aa9e6d,4033,1701743
770,a21c29,4042,1040927
771,a92ee2,4049,117651
772,7c7b65,4056,1590151
773,7c6db3,4059,638824
774,add0e1,4068,684016
775,a8d5a4,4077,409692
776,a94b72,4080,1675217
777,abd3c7,4082,1047593
778,490035,4085,818435
779,490035,824438,847634
780,490035,854226,951614
781,490035,966097,994436
782,490035,996212,1011065
783,490035,1017425,1025002
784,490035,1025691,1040056
785,490035,1041365,1047296
786,490035,1055503,1107004
787,490035,1113311,1114231
788,490035,1121622,1128770
789,490035,1142401,1157874
790,490035,1166098,1171374
791,490035,1179409,1187097
792,490035,1188035,1382557
793,490035,1388626,1490279
794,490035,1496895,1502621
795,490035,1511442,1517328
796,490035,1518727,1532047
797,490035,1532872,1540080
798,490035,1548454,1554375
799,490035,1562470,1568332
800,490035,1576689,1582249
801,490035,1590666,1603863
802,490035,1610070,1618875
803,490035,1625555,1647395
804,490035,1653671,1659442
805,490035,1660002,1672402
806,490035,1675390,1686464
807,490035,1689304,1700314
808,490035,1703113,1708475
809,490035,1714339,1721836
810,490035,1729421,1756525
811,3c1ff6,4092,1389165
812,3c43a0,4227,9872
813,3c43a0,1374153,1674435
814,ae58eb,4251,1576348
815,a07fa6,4442,1531709
816,a1d4fe,4474,943793
817,000000,4493,45301
818,000000,51676,101668
819,000000,103429,118993
820,a7e12d,5039,787185
821,42432d,5763,11680
822,3412c4,5879,11490
823,aa9071,6047,1087346
824,a29aff,6147,13432
825,a5106e,6218,975425
826,4bb065,6272,885837
827,abbd0a,6321,212521
828,abbd0a,219596,586999
829,a238dc,6338,1597721
830,43bf70,1093193,1094501
831,a1f94c,6727,1145468
832,a65560,6963,1406065
833,aa5a56,7440,64268
834,a01ca5,7441,1199616
835,ac4c7d,7697,664656
836,896307,8045,1415639
837,0d0867,8099,634874
838,7c1172,8128,399324
839,a74f33,9265,581323
840,3c43a6,1249110,1280492
841,3c43a6,1479826,1515876
842,a099a7,115924,123706
843,a01c2a,8972,1134737
844,a34f7f,9266,762906
845,a63a5c,9464,642136
846,a153c1,10112,1375252
847,a0144e,10252,1531181
848,a95d8f,10724,248475
849,a95d8f,456002,569679
850,a95d8f,576734,606518
851,a05ad4,11094,44928
852,a4c48f,11250,1196957
853,06a053,11554,1268959
854,a0b076,11660,1413928
855,aacf19,12391,1386761
856,a26fc9,12563,1042467
857,040048,12659,1110173
858,a3cf6d,13282,19099
859,a8d5bd,14117,1130381
860,a45f8e,14387,20425
861,abc201,360909,368814
862,abc201,461154,482719
863,abc201,867713,875346
864,a87432,15078,108005
865,a672d6,16122,628865
866,abe147,17063,17300
867,a58c2e,20067,1406261
868,a06db4,21252,883550
869,a5042b,23200,936451
870,a2479f,24159,599684
871,a20251,24541,605940
872,a33325,24667,290521
873,a209c0,40328,1378391
874,a8b81e,27045,372514
875,89616d,28084,1707316
876,a3f8b8,28343,92268
877,a9c18b,29510,1402855
878,a50cf0,29971,43438
879,a448d5,30331,1171599
880,7c1469,88461,156566
881,ad4873,32370,52935
882,ada521,33480,266798
883,344115,33903,39641
884,a82908,34596,791973
885,a82908,792652,808896
886,a82908,1452885,1524609
887,a340d2,337236,360930
888,a0cbaf,35777,1522977
889,a81645,38087,1439592
890,ab417a,38495,1240941
891,a2be06,41421,382132
892,a37ab5,42091,416018
893,a06e11,42340,665034
894,7c07cd,45198,454685
895,ae1456,47591,709185
896,abdcbe,47674,811318
897,abdcbe,924141,930578
898,a06d88,48286,844448
899,a4c19a,49982,498040
900,a4c19a,522359,1134396
901,a4c19a,1146937,1381153
902,abbd8d,50466,445747
903,a57361,51834,713004
904,ad116c,51860,1222954
905,a3ff26,52024,57568
906,ac1d74,54949,1562941
907,a10fe8,56886,1365223
908,abe1c2,57476,1616329
909,ad19f2,58907,1545377
910,a3486c,59677,280228
911,ab03a4,61405,75947
912,7c3026,62509,64994
913,a1bed2,64700,300235
914,a57a84,65057,904427
915,a80e4e,65621,73003
916,841ff4,69020,1711953
917,a12d17,70577,1365676
918,a12d17,1379500,1465594
919,424484,218190,1061527
920,780250,72206,584760
921,acaf83,73005,532189
922,a86266,74250,515929
923,a2b1ab,75056,1611762
924,a09e52,75722,329367
925,ae085b,86944,1368539
926,8963d6,87042,470658
927,89611e,87223,386443
928,89611e,424129,425134
929,500194,87716,539402
930,896f17,1702420,1708925
931,0ac9e1,89384,1554367
932,0ac9e1,1560058,1616748
933,896215,283122,289276
934,896215,343675,350623
935,adee4e,90949,1012996
936,7c77fe,91164,97258
937,ae08cf,91232,983646
938,a082ac,161308,746348
939,86d607,230152,232112
940,86d607,299891,1544888
941,ad97dd,92001,1292843
942,7c38fd,92037,136913
943,a1a46d,92179,461303
944,ac760d,93877,100972
945,abad6c,94136,108689
946,a6d7c9,94436,1332522
947,c027d7,94557,554278
948,86e474,94721,569213
949,894090,1469629,1472001
950,a55736,98782,858795
951,a35de5,99836,777621
952,add303,100611,1096589
953,a5f4be,100902,215614
954,a7f445,101920,104342
955,3cd568,102258,1238300
956,ac7f80,102308,1150673
957,ac9abc,104724,1586027
958,a85931,105952,1298435
959,a9827f,106039,142229
960,a2bb10,107677,551974
961,c005b9,107685,1170133
962,ac2fff,107885,1185319
963,abd90c,111357,873790
964,a107ee,120886,1146237
965,4952c3,121707,537747
966,ad08d7,123983,1408415
967,a69c9d,128108,945704
968,a32800,128679,135712
969,45fe3e,129595,655289
970,780726,130872,528274
